AMADALAVALASA,SAILADA,KUMMARITANK,SS,GP,LEASE,26.4,6.8,,
AMADALAVALASA,SAILADA,AYYAPPATANK,SS,GP,LEASE,26.0,6.7,,
AMADALAVALASA,SAILADA,VAIDULANARSUTANK,SS,GP,LEASE,27.2,7.1,,
AMADALAVALASA,SAILADA,YERRARAJUTANK,SS,GP,LEASE,31.2,8.2,,
AMADALAVALASA,SAILADA,RAMANACHARYULA TANK,SS,GP,LEASE,26.4,6.8,,
AMADALAVALASA,SAILADA,PENTABANDA TANK,SS,GP,LEASE,28.8,7.5,,
AMADALAVALASA,SAILADA,NUTHIKARRA TANK,SS,GP,LEASE,26.8,6.9,,
AMADALAVALASA,SAILADA,GURAPPATANK,SS,GP,LEASE,34.0,9.0,,
AMADALAVALASA,SAILADA,NARAYADUTANK,SS,GP,LEASE,48.0,13.1,,
AMADALAVALASA,SAILADA,VANDABANDA TANK,SS,GP,LEASE,36.0,9.6,,
AMADALAVALASA,SAILADA,KRISHNASAGARAM,SS,GP,LEASE,50.0,13.7,,
AMADALAVALASA,SAILADA,DAMMALAVANITANK,SS,GP,LEASE,49.6,6.4,,
AMADALAVALASA,SAILADA,NARAYANATANK,SS,GP,LEASE,34.0,9.0,,
AMADALAVALASA,SAILADA,CHINNAKURMANNA TANK,SS,GP,LEASE,25.2,6.5,,
AMADALAVALASA,SAILADA,KOLLAVANITANK,SS,GP,LEASE,34.8,9.3,,
AMADALAVALASA,SAILADA,NEMANITANK,SS,GP,LEASE,28.8,7.5,,
AMADALAVALASA,SAILADA,CHINTHAPUTTITANK,SS,GP,LEASE,44.0,12.0,,
AMADALAVALASA,SAILADA,MARRITANK,SS,GP,LEASE,36.8,9.9,,
AMADALAVALASA,VEDULLAVALASA,CHALLAVANITANK,SS,GP,LEASE,34.0,9.0,,
AMADALAVALASA,VEDULLAVALASA,DAKALAVANITANK,SS,GP,LEASE,27.2,7.1,,
AMADALAVALASA,VEDULLAVALASA,KAMSALITANK,SS,GP,LEASE,32.0,8.5,,
AMADALAVALASA,VEDULLAVALASA,THELAKALAVANITANK,SS,GP,LEASE,32.0,8.5,,
AMADALAVALASA,VEDULLAVALASA,DARGAVANITANK,SS,GP,LEASE,36.0,9.6,,
AMADALAVALASA,VEDULLAVALASA,KOTTATANK,SS,GP,LEASE,32.0,8.5,,
