District Code,District Name,Mandal Code,Mandal Name,Village Code,Village Name
506,Guntur,5065,Ipur,590127,Agnigundala
523,West Godavari,4974,Ganapavaram,588585,Agraharagopavaram
502,Anantapur,5345,Bukkapatnam,595280,Agraharam
503,Chittoor,5393,Nimmanapalle,596158,Agraharam
503,Chittoor,5393,Nimmanapalle,596158,Agraharam
503,Chittoor,5386,Pileru,596062,Agraharam
505,East Godavari,4911,Pithapuram,587467,Agraharam (R)
521,Vizianagaram,4824,Mentada,582727,Aguru
505,East Godavari,4732,Chintur,579167,Ahmmadalipeta
519,Srikakulam,4794,Burja,581243,Ahobalacharyula Peta
511,Kurnool,5298,Allagadda,594549,Ahobilam
510,Krishna,5028,Pamarru,589578,Ainampudi
505,East Godavari,4932,Mummidivaram,587762,Ainapuram
505,East Godavari,4933,Ainavilli,587767,Ainavilli
505,East Godavari,4933,Ainavilli,587767,Ainavilli
506,Guntur,5053,Thullur,589968,Ainavolu
510,Krishna,5012,Gannavaram,589249,Ajjampudi
523,West Godavari,4975,Akividu,588597,Ajjamuru
519,Srikakulam,4806,Etcherla,581713,Ajjaram
523,West Godavari,4971,Peravali,588533,Ajjaram
521,Vizianagaram,4818,Pachipenta,582440,Ajuru
503,Chittoor,5410,Puthalapattu,596469,Akanambattu
519,Srikakulam,4790,Santhabommali,581028,Akasalakkavaram
517,Prakasam,5132,Racherla,591167,Akaveedu
515,SPSR Nellore,5165,Anumasamudrampeta,591842,Akbarabad
504,Y.S.R.,5246,Rajampet,593660,Akepadu
515,SPSR Nellore,5175,Rapur,592013,Akilavalasa
517,Prakasam,5120,Podili,590977,Akka Cheruvu
515,SPSR Nellore,5177,Nellore,592092,Akkacheruvupadu
502,Anantapur,5354,Agali,595401,Akkagaladevarahalli
504,Y.S.R.,5208,Porumamilla,593004,Akkalreddipalle
517,Prakasam,5114,Darsi,590835,Akkamamba Puram
504,Y.S.R.,5238,T Sundupalle,593520,Akkampalle
523,West Godavari,4953,Jangareddigudem,588175,Akkampeta
515,SPSR Nellore,5183,Manubolu,592191,Akkampeta
515,SPSR Nellore,5198,Tada,592779,Akkampeta
519,Srikakulam,4786,Regidi Amadalavalasa,580863,Akkanna Agraharam
510,Krishna,4997,Tiruvuru,588965,Akkapalem
515,SPSR Nellore,5196,Doravarisatram,592696,Akkarapaka
519,Srikakulam,4795,Santhakaviti,581282,Akkarapalle
519,Srikakulam,4789,Tekkali,580975,Akkavaram
519,Srikakulam,4791,Kotabommali,581068,Akkayyavalasa
523,West Godavari,4967,Denduluru,588452,Akkireddigudem
510,Krishna,5002,Musunuru,589036,Akkireddigudem
519,Srikakulam,4798,Amadalavalasa,581410,Akkivaram
521,Vizianagaram,4839,Denkada,583228,Akkivaram
519,Srikakulam,4798,Amadalavalasa,581399,Akkulapeta
519,Srikakulam,4781,Vajrapukothuru,580539,Akkupalle
510,Krishna,5031,Guduru,589657,Akulamannadu
510,Krishna,5031,Guduru,589657,Akulamannadu
519,Srikakulam,4782,Nandigam,580673,Akularaghunadha Puram
519,Srikakulam,4772,Kothuru,580127,Akulatampara
502,Anantapur,5325,Singanamala,595011,Akuledu
511,Kurnool,5300,Sanjamala,594565,Akumalla
510,Krishna,5031,Guduru,589670,Akumarru
510,Krishna,5027,Vuyyuru,589561,Akunuru
