District Code,District Name,Mandal Code,Mandal Name
502,Anantapur,5310,Gooty
523,West Godavari,4951,Gopalapuram
504,Y.S.R.,5211,Gopavaram
502,Anantapur,5362,Gorantla
511,Kurnool,5287,Gospadu
520,Visakhapatanam,4850,Gudem Kotha Veedhi
502,Anantapur,5352,Gudibanda
503,Chittoor,5431,Gudipala
510,Krishna,5021,Gudivada
510,Krishna,5029,Gudlavalleru
517,Prakasam,5151,Gudluru
503,Chittoor,5426,Gudupalle
511,Kurnool,5257,Gudur
515,SPSR Nellore,5184,Gudur
510,Krishna,5031,Guduru
502,Anantapur,5319,Gummagatta
521,Vizianagaram,4808,Gummalakshmipuram
502,Anantapur,5309,Guntakal
506,Guntur,5074,Guntur
506,Guntur,5044,Gurazala
521,Vizianagaram,4828,Gurla
503,Chittoor,5370,Gurramkonda
511,Kurnool,5273,Halaharvi
517,Prakasam,5130,Hanumanthuni Padu
502,Anantapur,5364,Hindupur
519,Srikakulam,4783,Hiramandalam
511,Kurnool,5272,Holagunda
520,Visakhapatanam,4846,Hukumpeta
505,East Godavari,4931,I. Polavaram
510,Krishna,5009,Ibrahimpatnam
519,Srikakulam,4778,Ichchapuram
515,SPSR Nellore,5179,Indukurpet
517,Prakasam,5110,Inkollu
506,Guntur,5065,Ipur
523,West Godavari,4979,Iragavaram
503,Chittoor,5411,Irala
505,East Godavari,4898,Jaggampeta
510,Krishna,4991,Jaggayyapeta
515,SPSR Nellore,5157,Jaladanki
519,Srikakulam,4792,Jalumuru
521,Vizianagaram,4835,Jami
504,Y.S.R.,5215,Jammalamadugu
517,Prakasam,5111,Janakavarampanguluru
523,West Godavari,4953,Jangareddigudem
523,West Godavari,4947,Jeelugu Milli
521,Vizianagaram,4810,Jiyyammavalasa
511,Kurnool,5262,Jupadu Bungalow
505,East Godavari,4929,K Gangavaram
520,Visakhapatanam,4860,K.Kotapadu
503,Chittoor,5382,K.V.B.Puram
505,East Godavari,4918,Kadiam
502,Anantapur,5343,Kadiri
510,Krishna,5016,Kaikalur
505,East Godavari,4923,Kajuluru
505,East Godavari,4913,Kakinada (Rural)
506,Guntur,5083,Kakumanu
503,Chittoor,5371,Kalakada
504,Y.S.R.,5207,Kalasapadu
510,Krishna,5017,Kalidindi
515,SPSR Nellore,5160,Kaligiri
503,Chittoor,5387,Kalikiri
523,West Godavari,4985,Kalla
511,Kurnool,5258,Kallur
515,SPSR Nellore,5174,Kaluvoya
502,Anantapur,5321,Kalyandurg
504,Y.S.R.,5224,Kamalapuram
523,West Godavari,4954,Kamavarapukota
502,Anantapur,5334,Kambadur
503,Chittoor,5372,Kambhamvaripalle
502,Anantapur,5335,Kanaganapalle
510,Krishna,5007,Kanchikacherla
519,Srikakulam,4777,Kanchili
517,Prakasam,5148,Kandukur
502,Anantapur,5306,Kanekal
517,Prakasam,5136,Kanigiri
510,Krishna,5023,Kankipadu
505,East Godavari,4928,Kapileswarapuram
517,Prakasam,5109,Karamchedu
505,East Godavari,4922,Karapa
506,Guntur,5046,Karempudi
506,Guntur,5092,Karlapalem
503,Chittoor,5408,Karvetinagar
520,Visakhapatanam,4876,Kasimkota
505,East Godavari,4943,Katrenikona
515,SPSR Nellore,5158,Kavali
519,Srikakulam,4779,Kaviti
504,Y.S.R.,5212,Khajipet
505,East Godavari,4899,Kirlampudi
515,SPSR Nellore,5169,Kodavalur
511,Kurnool,5269,Kodumur
504,Y.S.R.,5249,Kodur
510,Krishna,5039,Koduru
511,Kurnool,5296,Koilkuntla
511,Kurnool,5301,Kolimigundla
506,Guntur,5077,Kollipara
506,Guntur,5088,Kollur
521,Vizianagaram,4807,Komarada
517,Prakasam,5134,Komarolu
517,Prakasam,5119,Konakanamitla
517,Prakasam,5137,Kondapi
515,SPSR Nellore,5156,Kondapuram
504,Y.S.R.,5199,Kondapuram
517,Prakasam,5122,Korisapadu
505,East Godavari,4905,Korukonda
511,Kurnool,5251,Kosigi
515,SPSR Nellore,5191,Kota
519,Srikakulam,4791,Kotabommali
505,East Godavari,4889,Kotananduru
520,Visakhapatanam,4874,Kotauratla
517,Prakasam,5140,Kotha Patnam
502,Anantapur,5346,Kothacheruvu
505,East Godavari,4912,Kothapalle
511,Kurnool,5263,Kothapalle
505,East Godavari,4927,Kothapeta
521,Vizianagaram,4834,Kothavalasa
519,Srikakulam,4772,Kothuru
515,SPSR Nellore,5178,Kovur
523,West Godavari,4958,Kovvur
511,Kurnool,5252,Kowthalam
523,West Godavari,4952,Koyyalagudem
520,Visakhapatanam,4851,Koyyuru
511,Kurnool,5277,Krishnagiri
506,Guntur,5051,Krosuru
510,Krishna,5018,Kruthivennu
502,Anantapur,5323,Kudair
523,West Godavari,4735,Kukunoor
505,East Godavari,4731,Kunavaram
502,Anantapur,5333,Kundurpi
503,Chittoor,5427,Kuppam
503,Chittoor,5389,Kurabalakota
517,Prakasam,5103,Kurichedu
511,Kurnool,5259,Kurnool
521,Vizianagaram,4809,Kurupam
521,Vizianagaram,4833,Lakkavarapukota
504,Y.S.R.,5240,Lakkireddipalle
519,Srikakulam,4787,Lakshminarsupeta
519,Srikakulam,4804,Laveru
502,Anantapur,5365,Lepakshi
504,Y.S.R.,5218,Lingala
523,West Godavari,4945,Lingapalem
517,Prakasam,5150,Lingasamudram
506,Guntur,5048,Machavaram
506,Guntur,5040,Macherla
510,Krishna,5034,Machilipatnam
502,Anantapur,5350,Madakasira
503,Chittoor,5392,Madanapalle
511,Kurnool,5292,Maddikera (East)
517,Prakasam,5127,Maddipadu
520,Visakhapatanam,4857,Madugula
511,Kurnool,5285,Mahanandi
520,Visakhapatanam,4875,Makavarapalem
521,Vizianagaram,4813,Makkuva
505,East Godavari,4938,Malikipuram
505,East Godavari,4936,Mamidikuduru
505,East Godavari,4920,Mandapeta
519,Srikakulam,4776,Mandasa
510,Krishna,5015,Mandavalli
506,Guntur,5055,Mangalagiri
511,Kurnool,5250,Mantralayam
515,SPSR Nellore,5183,Manubolu
505,East Godavari,4884,Maredumilli
517,Prakasam,5115,Markapur
515,SPSR Nellore,5163,Marripadu
517,Prakasam,5129,Marripudi
517,Prakasam,5106,Martur
506,Guntur,5073,Medikonduru
519,Srikakulam,4774,Meliaputti
521,Vizianagaram,4824,Mentada
521,Vizianagaram,4822,Merakamudidam
511,Kurnool,5267,Midthur
523,West Godavari,4986,Mogalthur
510,Krishna,5036,Mopidevi
510,Krishna,5032,Movva
504,Y.S.R.,5216,Muddanur
502,Anantapur,5339,Mudigubba
510,Krishna,5020,Mudinepalle
503,Chittoor,5367,Mulakalacheruvu
505,East Godavari,4932,Mummidivaram
520,Visakhapatanam,4877,Munagapaka
520,Visakhapatanam,4841,Munchingi Puttu
517,Prakasam,5113,Mundlamuru
506,Guntur,5068,Muppalla
510,Krishna,5002,Musunuru
515,SPSR Nellore,5181,Muthukur
510,Krishna,4995,Mylavaram
504,Y.S.R.,5200,Mylavaram
506,Guntur,5069,Nadendla
503,Chittoor,5403,Nagalapuram
506,Guntur,5095,Nagaram
503,Chittoor,5406,Nagari
510,Krishna,5038,Nagayalanka
517,Prakasam,5126,Naguluppala Padu
515,SPSR Nellore,5194,Naidupet
520,Visakhapatanam,4880,Nakkapalle
502,Anantapur,5359,Nallacheruvu
523,West Godavari,4956,Nallajerla
502,Anantapur,5344,Nallamada
502,Anantapur,5341,Nambulipulikunta
504,Y.S.R.,5243,Nandalur
511,Kurnool,5255,Nandavaram
519,Srikakulam,4782,Nandigam
510,Krishna,4993,Nandigama
511,Kurnool,5260,Nandikotkur
510,Krishna,5014,Nandivada
511,Kurnool,5284,Nandyal
519,Srikakulam,4799,Narasannapeta
523,West Godavari,4987,Narasapuram
506,Guntur,5067,Narasaraopet
503,Chittoor,5400,Narayanavanam
502,Anantapur,5328,Narpala
520,Visakhapatanam,4854,Narsipatnam
520,Visakhapatanam,4852,Nathavaram
506,Guntur,5060,Nekarikallu
521,Vizianagaram,4837,Nellimarla
505,East Godavari,6063,Nellipaka
515,SPSR Nellore,5177,Nellore
523,West Godavari,4960,Nidadavole
523,West Godavari,4968,Nidamarru
503,Chittoor,5393,Nimmanapalle
503,Chittoor,5404,Nindra
506,Guntur,5094,Nizampatnam
506,Guntur,5063,Nuzendla
510,Krishna,5003,Nuzvid
502,Anantapur,5358,Obuladevaracheruvu
504,Y.S.R.,5248,Obulavaripalle
515,SPSR Nellore,5189,Ojili
517,Prakasam,5139,Ongole
511,Kurnool,5268,Orvakal
511,Kurnool,5295,Owk
505,East Godavari,4934,P.Gannavaram
521,Vizianagaram,4818,Pachipenta
520,Visakhapatanam,4847,Paderu
520,Visakhapatanam,4864,Padmanabham
511,Kurnool,5261,Pagidyala
503,Chittoor,5396,Pakala
523,West Godavari,4977,Palacoderu
523,West Godavari,4988,Palacole
519,Srikakulam,4784,Palakonda
503,Chittoor,5422,Palamaner
519,Srikakulam,4775,Palasa
503,Chittoor,5432,Palasamudram
510,Krishna,5028,Pamarru
502,Anantapur,5315,Pamidi
510,Krishna,5026,Pamidimukkala
511,Kurnool,5266,Pamulapadu
517,Prakasam,5146,Pamur
511,Kurnool,5280,Panyam
520,Visakhapatanam,4870,Paravada
517,Prakasam,5108,Parchur
502,Anantapur,5355,Parigi
521,Vizianagaram,4812,Parvathipuram
519,Srikakulam,4773,Pathapatnam
511,Kurnool,5290,Pattikonda
520,Visakhapatanam,4881,Payakaraopeta
511,Kurnool,5294,Peapally
517,Prakasam,5101,Peda  Araveedu
520,Visakhapatanam,4842,Peda Bayalu
517,Prakasam,5144,Pedacherlo Palle
506,Guntur,5075,Pedakakani
506,Guntur,5057,Pedakurapadu
510,Krishna,5030,Pedana
506,Guntur,5082,Pedanandipadu
523,West Godavari,4965,Pedapadu
510,Krishna,5022,Pedaparupudi
505,East Godavari,4915,Pedapudi
523,West Godavari,4964,Pedavegi
511,Kurnool,5253,Pedda Kadubur
503,Chittoor,5390,Pedda Thippasamudram
503,Chittoor,5369,Peddamandyam
504,Y.S.R.,5201,Peddamudium
503,Chittoor,5416,Peddapanjani
502,Anantapur,5314,Peddapappur
505,East Godavari,4903,Peddapuram
502,Anantapur,5311,Peddavadugur
515,SPSR Nellore,5195,Pellakur
504,Y.S.R.,5244,Penagalur
510,Krishna,5024,Penamaluru
504,Y.S.R.,5232,Pendlimarri
520,Visakhapatanam,4862,Pendurthi
523,West Godavari,4969,Pentapadu
510,Krishna,4992,Penuganchiprolu
523,West Godavari,4980,Penugonda
502,Anantapur,5356,Penukonda
523,West Godavari,4978,Penumantra
503,Chittoor,5409,Penumuru
523,West Godavari,4971,Peravali
506,Guntur,5072,Phirangipuram
503,Chittoor,5401,Pichatur
506,Guntur,5047,Piduguralla
503,Chittoor,5386,Pileru
505,East Godavari,4911,Pithapuram
506,Guntur,5091,Pittalavanipalem
515,SPSR Nellore,5176,Podalakur
517,Prakasam,5120,Podili
523,West Godavari,4982,Poduru
519,Srikakulam,4800,Polaki
523,West Godavari,4949,Polavaram
519,Srikakulam,4803,Ponduru
517,Prakasam,5143,Ponnaluru
506,Guntur,5084,Ponnur
504,Y.S.R.,5208,Porumamilla
505,East Godavari,4900,Prathipadu
506,Guntur,5081,Prathipadu
504,Y.S.R.,5214,Proddatur
503,Chittoor,5395,Pulicherla
504,Y.S.R.,5219,Pulivendla
517,Prakasam,5098,Pullalacheruvu
504,Y.S.R.,5247,Pullampeta
503,Chittoor,5415,Punganur
521,Vizianagaram,4838,Pusapatirega
503,Chittoor,5410,Puthalapattu
502,Anantapur,5326,Putlur
502,Anantapur,5357,Puttaparthi
503,Chittoor,5407,Puttur
517,Prakasam,5132,Racherla
505,East Godavari,4907,Rajahmundry Rural
519,Srikakulam,4796,Rajam
504,Y.S.R.,5246,Rajampet
505,East Godavari,4908,Rajanagaram
505,East Godavari,4888,Rajavommangi
506,Guntur,5059,Rajupalem
504,Y.S.R.,5202,Rajupalem
521,Vizianagaram,4819,Ramabhadrapuram
503,Chittoor,5398,Ramachandrapuram
505,East Godavari,4924,Ramachandrapuram
502,Anantapur,5348,Ramagiri
503,Chittoor,5428,Ramakuppam
504,Y.S.R.,5241,Ramapuram
503,Chittoor,5414,Ramasamudram
520,Visakhapatanam,4883,Rambilli
505,East Godavari,4895,Rampachodavaram
519,Srikakulam,4805,Ranastalam
505,East Godavari,4909,Rangampeta
502,Anantapur,5331,Raptadu
515,SPSR Nellore,5175,Rapur
520,Visakhapatanam,4856,Ravikamatham
505,East Godavari,4926,Ravulapalem
504,Y.S.R.,5239,Rayachoti
502,Anantapur,5305,Rayadurg
505,East Godavari,4921,Rayavaram
505,East Godavari,4937,Razole
510,Krishna,4999,Reddigudem
519,Srikakulam,4786,Regidi Amadalavalasa
503,Chittoor,5376,Renigunta
506,Guntur,5043,Rentachintala
506,Guntur,5096,Repalle
502,Anantapur,5349,Roddam
502,Anantapur,5353,Rolla
520,Visakhapatanam,4855,Rolugunta
503,Chittoor,5373,Rompicherla
506,Guntur,5066,Rompicherla
505,East Godavari,4891,Rowthulapudi
511,Kurnool,5297,Rudravaram
504,Y.S.R.,5204,S.Mydukur
520,Visakhapatanam,4882,S.Rayavaram
520,Visakhapatanam,4861,Sabbavaram
505,East Godavari,4939,Sakhinetipalle
521,Vizianagaram,4817,Salur
505,East Godavari,4910,Samalkota
504,Y.S.R.,5237,Sambepalle
515,SPSR Nellore,5171,Sangam
511,Kurnool,5300,Sanjamala
505,East Godavari,4892,Sankhavaram
519,Srikakulam,4790,Santhabommali
519,Srikakulam,4795,Santhakaviti
517,Prakasam,5104,Santhamaguluru
517,Prakasam,5138,Santhanuthala Padu
503,Chittoor,5425,Santhipuram
519,Srikakulam,4788,Saravakota
519,Srikakulam,4793,Sarubujjili
506,Guntur,5058,Sattenapalle
503,Chittoor,5402,Satyavedu
506,Guntur,5064,Savalyapuram H/O Kanamarlapudi
519,Srikakulam,4770,Seethampeta
505,East Godavari,4896,Seethanagaram
521,Vizianagaram,4814,Seethanagaram
515,SPSR Nellore,5153,Seetharamapuram
502,Anantapur,5332,Settur
504,Y.S.R.,5229,Sidhout
504,Y.S.R.,5217,Simhadripuram
502,Anantapur,5325,Singanamala
517,Prakasam,5149,Singarayakonda
511,Kurnool,5286,Sirvel
503,Chittoor,5394,Sodam
503,Chittoor,5412,Somala
502,Anantapur,5363,Somandepalle
519,Srikakulam,4780,Sompeta
504,Y.S.R.,5206,Sri Avadhutha Kasinayana
519,Srikakulam,4802,Srikakulam
503,Chittoor,5378,Srikalahasti
503,Chittoor,5419,Srirangarajapuram
521,Vizianagaram,4831,Srungavarapukota
515,SPSR Nellore,5197,Sullurpeta
515,SPSR Nellore,5185,Sydapuram
504,Y.S.R.,5238,T Sundupalle
523,West Godavari,4946,T.Narasapuram
515,SPSR Nellore,5198,Tada
506,Guntur,5054,Tadepalle
523,West Godavari,4961,Tadepalligudem
506,Guntur,5056,Tadikonda
502,Anantapur,5338,Tadimarri
502,Anantapur,5313,Tadpatri
523,West Godavari,4950,Tallapudi
517,Prakasam,5121,Tallur
502,Anantapur,5340,Talupula
502,Anantapur,5360,Tanakal
517,Prakasam,5141,Tangutur
523,West Godavari,4972,Tanuku
517,Prakasam,5118,Tarlupadu
519,Srikakulam,4789,Tekkali
506,Guntur,5078,Tenali
505,East Godavari,4930,Thallarevu
503,Chittoor,5368,Thamballapalle
503,Chittoor,5418,Thavanampalle
521,Vizianagaram,4821,Therlam
505,East Godavari,4901,Thondangi
504,Y.S.R.,5221,Thondur
515,SPSR Nellore,5180,Thotapalligudur
510,Krishna,5025,Thotlavalluru
503,Chittoor,5379,Thottambedu
506,Guntur,5053,Thullur
503,Chittoor,5375,Tirupati (Rural)
503,Chittoor,5383,Tirupati (Urban)
510,Krishna,4997,Tiruvuru
517,Prakasam,5099,Tripuranthakam
506,Guntur,5085,Tsundur
511,Kurnool,5293,Tuggali
505,East Godavari,4890,Tuni
515,SPSR Nellore,5154,Udayagiri
517,Prakasam,5152,Ulavapadu
523,West Godavari,4976,Undi
523,West Godavari,4970,Undrajavaram
510,Krishna,5013,Unguturu
523,West Godavari,4962,Unguturu
505,East Godavari,4942,Uppalaguptam
502,Anantapur,5317,Uravakonda
511,Kurnool,5302,Uyyalawada
503,Chittoor,5399,Vadamalapeta
502,Anantapur,5316,Vajrakarur
519,Srikakulam,4781,Vajrapukothuru
515,SPSR Nellore,5192,Vakadu
504,Y.S.R.,5225,Vallur
503,Chittoor,5388,Valmikipuram
519,Srikakulam,4785,Vangara
503,Chittoor,5381,Varadaiahpalem
505,East Godavari,4733,Vararamachandrapuram
515,SPSR Nellore,5155,Varikuntapadu
510,Krishna,4990,Vatsavai
506,Guntur,5080,Vatticherukuru
503,Chittoor,5397,Vedurukuppam
504,Y.S.R.,5242,Veeraballe
519,Srikakulam,4769,Veeraghattam
504,Y.S.R.,5222,Veerapunayunipalle
523,West Godavari,4983,Veeravasaram
510,Krishna,4994,Veerullapadu
523,West Godavari,4734,Velairpadu
506,Guntur,5041,Veldurthi
511,Kurnool,5278,Veldurthi
511,Kurnool,5282,Velgode
517,Prakasam,5135,Veligandla
504,Y.S.R.,5233,Vempalle
504,Y.S.R.,5220,Vemula
506,Guntur,5087,Vemuru
515,SPSR Nellore,5182,Venkatachalam
515,SPSR Nellore,5187,Venkatagiri
503,Chittoor,5424,Venkatagirikota
521,Vizianagaram,4832,Vepada
517,Prakasam,5124,Vetapalem
502,Anantapur,5308,Vidapanakal
515,SPSR Nellore,5168,Vidavalur
503,Chittoor,5405,Vijayapuram
510,Krishna,5011,Vijayawada (Rural)
515,SPSR Nellore,5161,Vinjamur
506,Guntur,5062,Vinukonda
510,Krishna,5000,Vissannapet
521,Vizianagaram,4836,Vizianagaram
517,Prakasam,5147,Voletivaripalem
504,Y.S.R.,5228,Vontimitta
510,Krishna,5027,Vuyyuru
505,East Godavari,4886,Y. Ramavaram
503,Chittoor,5430,Yadamarri
502,Anantapur,5312,Yadiki
517,Prakasam,5107,Yeddana Pudi
520,Visakhapatanam,4879,Yelamanchili
523,West Godavari,4989,Yelamanchili
505,East Godavari,4893,Yeleswaram
502,Anantapur,5327,Yellanur
511,Kurnool,5254,Yemmiganur
503,Chittoor,5377,Yerpedu
517,Prakasam,5097,Yerragondapalem
504,Y.S.R.,5223,Yerraguntla
503,Chittoor,5374,Yerravaripalem
517,Prakasam,5142,Zarugumalli
