51,Akkupalli,,608,9,,,2019-10-18 09:14:12.188133,2019-10-18 09:14:12.188133,,,,,,
52,Chinakothuru,,608,9,,,2019-10-18 09:14:12.207118,2019-10-18 09:14:12.207118,,,,,,
53,D. althada,,608,9,,,2019-10-18 09:14:12.2282,2019-10-18 09:14:12.2282,,,,,,
54,Dokulapadu,,608,9,,,2019-10-18 09:14:12.253001,2019-10-18 09:14:12.253001,,,,,,
55,Gunupalli,,608,9,,,2019-10-18 09:14:12.273731,2019-10-18 09:14:12.273731,,,,,,
56,Hukumpeta,,608,9,,,2019-10-18 09:14:12.305578,2019-10-18 09:14:12.305578,,,,,,
57,Kambalarayudupeta,,608,9,,,2019-10-18 09:14:12.329411,2019-10-18 09:14:12.329411,,,,,,
58,Kothapeta,,608,9,,,2019-10-18 09:14:12.376279,2019-10-18 09:14:12.376279,,,,,,
59,Manchineealpeta,,608,9,,,2019-10-18 09:14:12.414226,2019-10-18 09:14:12.414226,,,,,,
60,Nuvvalarevu,,608,9,,,2019-10-18 09:14:12.461908,2019-10-18 09:14:12.461908,,,,,,
61,Cheplakancheru,,65,11,,,2019-10-18 09:14:12.490718,2019-10-18 09:14:12.490718,,,,,,
62,Chinakondrajupalem,,65,11,,,2019-10-18 09:14:12.51193,2019-10-18 09:14:12.51193,,,,,,
63,Chodipallipeta,,65,11,,,2019-10-18 09:14:12.531579,2019-10-18 09:14:12.531579,,,,,,
64,Mukkam,,65,11,,,2019-10-18 09:14:12.562606,2019-10-18 09:14:12.562606,,,,,,
65,Pedakondrajupalem,,65,11,,,2019-10-18 09:14:12.610585,2019-10-18 09:14:12.610585,,,,,,
66,Barripeta h/o chintapalli,,478,11,,,2019-10-18 09:14:12.6415,2019-10-18 09:14:12.6415,,,,,,
67,Boddugurayyapeta,,478,11,,,2019-10-18 09:14:12.67221,2019-10-18 09:14:12.67221,,,,,,
68,Kothuru h/o chintapalli,,478,11,,,2019-10-18 09:14:12.698362,2019-10-18 09:14:12.698362,,,,,,
69,Kotturu h/o tippalavalasa,,478,11,,,2019-10-18 09:14:12.719185,2019-10-18 09:14:12.719185,,,,,,
70,Madduru h/o tippalavalasa,,478,11,,,2019-10-18 09:14:12.742221,2019-10-18 09:14:12.742221,,,,,,
71,Nelageddapeta h/o chintapalli,,478,11,,,2019-10-18 09:14:12.780673,2019-10-18 09:14:12.780673,,,,,,
72,Pathivada barripeta,,478,11,,,2019-10-18 09:14:12.818728,2019-10-18 09:14:12.818728,,,,,,
73,Pedduruh/o chinthapalli,,478,11,,,2019-10-18 09:14:12.840851,2019-10-18 09:14:12.840851,,,,,,
74,Puligeddapalem,,478,11,,,2019-10-18 09:14:12.868488,2019-10-18 09:14:12.868488,,,,,,
75,Thammayyapalem,,478,11,,,2019-10-18 09:14:12.888043,2019-10-18 09:14:12.888043,,,,,,
76,Tippalavalasa,,478,11,,,2019-10-18 09:14:12.917028,2019-10-18 09:14:12.917028,,,,,,
77,Kondapalem,,33,10,,,2019-10-18 09:14:12.93933,2019-10-18 09:14:12.93933,,,,,,
78,Pudimadaka,,33,10,,,2019-10-18 09:14:12.96563,2019-10-18 09:14:12.96563,,,,,,
79,Tantadivadapalem,,33,10,,,2019-10-18 09:14:13.007782,2019-10-18 09:14:13.007782,,,,,,
80,Annavaram,,62,10,,,2019-10-18 09:14:13.04413,2019-10-18 09:14:13.04413,,,,,,
81,Beemili,,62,10,,,2019-10-18 09:14:13.07537,2019-10-18 09:14:13.07537,,,,,,
82,Chinanagamayyapalem,,62,10,,,2019-10-18 09:14:13.104883,2019-10-18 09:14:13.104883,,,,,,
83,Kapuladibbadipalem,,62,10,,,2019-10-18 09:14:13.134257,2019-10-18 09:14:13.134257,,,,,,
84,Peda mangamaripeta,,62,10,,,2019-10-18 09:14:13.157372,2019-10-18 09:14:13.157372,,,,,,
85,Pedanagamayyapalem,,62,10,,,2019-10-18 09:14:13.180099,2019-10-18 09:14:13.180099,,,,,,
86,Peddauppada,,62,10,,,2019-10-18 09:14:13.205045,2019-10-18 09:14:13.205045,,,,,,
87,Amalapuram,,362,10,,,2019-10-18 09:14:13.232241,2019-10-18 09:14:13.232241,,,,,,
88,Bangarammapeta,,362,10,,,2019-10-18 09:14:13.267317,2019-10-18 09:14:13.267317,,,,,,
89,Boyapadu,,362,10,,,2019-10-18 09:14:13.28713,2019-10-18 09:14:13.28713,,,,,,
90,Chinateenarla,,362,10,,,2019-10-18 09:14:13.308913,2019-10-18 09:14:13.308913,,,,,,
91,Dl puram,,362,10,,,2019-10-18 09:14:13.334896,2019-10-18 09:14:13.334896,,,,,,
92,Dondavaka,,362,10,,,2019-10-18 09:14:13.3686,2019-10-18 09:14:13.3686,,,,,,
93,Peddateenarla,,362,10,,,2019-10-18 09:14:13.40508,2019-10-18 09:14:13.40508,,,,,,
94,Rajayyapeta,,362,10,,,2019-10-18 09:14:13.462625,2019-10-18 09:14:13.462625,,,,,,
95,Muthyalammapalem,,416,10,,,2019-10-18 09:14:13.504244,2019-10-18 09:14:13.504244,,,,,,
96,Tikkavanipalem,,416,10,,,2019-10-18 09:14:13.537548,2019-10-18 09:14:13.537548,,,,,,
97,Gajapathinagaram,,422,10,,,2019-10-18 09:14:13.573903,2019-10-18 09:14:13.573903,,,,,,
98,Korlayyapeta,,422,10,,,2019-10-18 09:14:13.602602,2019-10-18 09:14:13.602602,,,,,,
99,Palmanupeta,,422,10,,,2019-10-18 09:14:13.635998,2019-10-18 09:14:13.635998,,,,,,
100,Pentakota,,422,10,,,2019-10-18 09:14:13.684085,2019-10-18 09:14:13.684085,,,,,,
101,Rajanagaram,,422,10,,,2019-10-18 09:14:13.70812,2019-10-18 09:14:13.70812,,,,,,
102,Rajavaram,,422,10,,,2019-10-18 09:14:13.73807,2019-10-18 09:14:13.73807,,,,,,
103,Ratnayyammapeta,,422,10,,,2019-10-18 09:14:13.771428,2019-10-18 09:14:13.771428,,,,,,
104,Venkatanagaram,,422,10,,,2019-10-18 09:14:13.800354,2019-10-18 09:14:13.800354,,,,,,
105,Appikonda,,622,10,,,2019-10-18 09:14:13.834688,2019-10-18 09:14:13.834688,,,,,,
106,Kothapatnam,,498,10,,,2019-10-18 09:14:13.874782,2019-10-18 09:14:13.874782,,,,,,
107,R. vadapalem,,498,10,,,2019-10-18 09:14:13.918659,2019-10-18 09:14:13.918659,,,,,,
108,Vadanarsapuram,,498,10,,,2019-10-18 09:14:13.9643,2019-10-18 09:14:13.9643,,,,,,
109,Venkayyapalem,,498,10,,,2019-10-18 09:14:13.984293,2019-10-18 09:14:13.984293,,,,,,
110,Bangarammapalem,,523,10,,,2019-10-18 09:14:14.009128,2019-10-18 09:14:14.009128,,,,,,
111,Kotharevupolavaram,,523,10,,,2019-10-18 09:14:14.053935,2019-10-18 09:14:14.053935,,,,,,
112,Revupolavaram,,523,10,,,2019-10-18 09:14:14.08219,2019-10-18 09:14:14.08219,,,,,,
120,Odalarevu,,12,3,,,2019-10-18 09:14:14.364149,2019-10-18 09:14:14.364149,,,,,,
