62,10,4865,Bheemunipatnam,2019-10-18 09:07:57.982568,2019-10-18 09:07:57.982568
63,12,4963,Bhimadole,2019-10-18 09:07:57.999187,2019-10-18 09:07:57.999187
64,12,4984,Bhimavaram,2019-10-18 09:07:58.019338,2019-10-18 09:07:58.019338
65,11,4840,Bhogapuram,2019-10-18 09:07:58.036832,2019-10-18 09:07:58.036832
66,3,4916,Biccavolu,2019-10-18 09:07:58.065973,2019-10-18 09:07:58.065973
67,11,4816,Bobbili,2019-10-18 09:07:58.084405,2019-10-18 09:07:58.084405
68,8,5159,Bogole,2019-10-18 09:07:58.100398,2019-10-18 09:07:58.100398
69,4,5061,Bollapalle,2019-10-18 09:07:58.11309,2019-10-18 09:07:58.11309
70,1,5307,Bommanahal,2019-10-18 09:07:58.123422,2019-10-18 09:07:58.123422
71,11,4829,Bondapalle,2019-10-18 09:07:58.133665,2019-10-18 09:07:58.133665
72,13,5205,Brahmamgarimattam,2019-10-18 09:07:58.150903,2019-10-18 09:07:58.150903
73,1,5320,Brahmasamudram,2019-10-18 09:07:58.161922,2019-10-18 09:07:58.161922
74,2,5380,Buchinaidu kandriga,2019-10-18 09:07:58.171891,2019-10-18 09:07:58.171891
75,8,5170,Buchireddipalem,2019-10-18 09:07:58.18334,2019-10-18 09:07:58.18334
76,1,5345,Bukkapatnam,2019-10-18 09:07:58.194626,2019-10-18 09:07:58.194626
77,1,5329,Bukkaraya samudram,2019-10-18 09:07:58.204829,2019-10-18 09:07:58.204829
78,9,4794,Burja,2019-10-18 09:07:58.216018,2019-10-18 09:07:58.216018
79,10,4873,Butchayyapeta,2019-10-18 09:07:58.227948,2019-10-18 09:07:58.227948
80,12,4948,Buttayagudem,2019-10-18 09:07:58.239055,2019-10-18 09:07:58.239055
81,6,5256,C.belagal,2019-10-18 09:07:58.250216,2019-10-18 09:07:58.250216
82,6,5303,Chagalamarri,2019-10-18 09:07:58.268504,2019-10-18 09:07:58.268504
83,12,4959,Chagallu,2019-10-18 09:07:58.283328,2019-10-18 09:07:58.283328
84,13,5234,Chakrayapet,2019-10-18 09:07:58.294185,2019-10-18 09:07:58.294185
85,5,5035,Challapalle,2019-10-18 09:07:58.320727,2019-10-18 09:07:58.320727
86,5,5008,Chandarlapadu,2019-10-18 09:07:58.340111,2019-10-18 09:07:58.340111
87,7,5145,Chandra sekhara puram,2019-10-18 09:07:58.357786,2019-10-18 09:07:58.357786
88,2,5384,Chandragiri,2019-10-18 09:07:58.373293,2019-10-18 09:07:58.373293
89,13,5213,Chapad,2019-10-18 09:07:58.383188,2019-10-18 09:07:58.383188
90,5,5001,Chatrai,2019-10-18 09:07:58.394098,2019-10-18 09:07:58.394098
91,4,5079,Chebrolu,2019-10-18 09:07:58.40904,2019-10-18 09:07:58.40904
92,10,4858,Cheedikada,2019-10-18 09:07:58.428237,2019-10-18 09:07:58.428237
93,11,4827,Cheepurupalle,2019-10-18 09:07:58.444493,2019-10-18 09:07:58.444493
94,8,5172,Chejerla,2019-10-18 09:07:58.456557,2019-10-18 09:07:58.456557
95,1,5347,Chennekothapalle,2019-10-18 09:07:58.46847,2019-10-18 09:07:58.46847
96,13,5226,Chennur,2019-10-18 09:07:58.478654,2019-10-18 09:07:58.478654
97,4,5090,Cherukupalle h/o arumbaka,2019-10-18 09:07:58.48842,2019-10-18 09:07:58.48842
98,4,5070,Chilakaluripet  h/o.purushotha patnam,2019-10-18 09:07:58.505233,2019-10-18 09:07:58.505233
99,1,5366,Chilamathur,2019-10-18 09:07:58.51646,2019-10-18 09:07:58.51646
100,8,5190,Chillakur,2019-10-18 09:07:58.527783,2019-10-18 09:07:58.527783
101,7,5128,Chimakurthi,2019-10-18 09:07:58.537491,2019-10-18 09:07:58.537491
102,7,5125,Chinaganjam,2019-10-18 09:07:58.549504,2019-10-18 09:07:58.549504
103,2,5385,Chinnagottigallu,2019-10-18 09:07:58.560494,2019-10-18 09:07:58.560494
104,13,5236,Chinnamandem,2019-10-18 09:07:58.575877,2019-10-18 09:07:58.575877
105,12,4944,Chintalapudi,2019-10-18 09:07:58.591193,2019-10-18 09:07:58.591193
106,10,4849,Chintapalle,2019-10-18 09:07:58.603261,2019-10-18 09:07:58.603261
107,13,5231,Chinthakommadinne,2019-10-18 09:07:58.615029,2019-10-18 09:07:58.615029
108,3,4732,Chintur,2019-10-18 09:07:58.627226,2019-10-18 09:07:58.627226
109,6,5291,Chippagiri,2019-10-18 09:07:58.637133,2019-10-18 09:07:58.637133
110,7,5123,Chirala,2019-10-18 09:07:58.667059,2019-10-18 09:07:58.667059
111,8,5193,Chittamur,2019-10-18 09:07:58.6842,2019-10-18 09:07:58.6842
112,2,5421,Chittoor,2019-10-18 09:07:58.694503,2019-10-18 09:07:58.694503
113,13,5245,Chitvel,2019-10-18 09:07:58.708925,2019-10-18 09:07:58.708925
114,10,4872,Chodavaram,2019-10-18 09:07:58.723684,2019-10-18 09:07:58.723684
115,2,5413,Chowdepalle,2019-10-18 09:07:58.734071,2019-10-18 09:07:58.734071
116,7,5117,Cumbum,2019-10-18 09:07:58.744204,2019-10-18 09:07:58.744204
117,1,5304,D.hirehal,2019-10-18 09:07:58.753891,2019-10-18 09:07:58.753891
118,4,5045,Dachepalle,2019-10-18 09:07:58.765395,2019-10-18 09:07:58.765395
119,8,5166,Dagadarthi,2019-10-18 09:07:58.780113,2019-10-18 09:07:58.780113
120,8,5186,Dakkili,2019-10-18 09:07:58.796669,2019-10-18 09:07:58.796669
121,7,5114,Darsi,2019-10-18 09:07:58.810282,2019-10-18 09:07:58.810282
122,11,4823,Dattirajeru,2019-10-18 09:07:58.829395,2019-10-18 09:07:58.829395
123,12,4967,Denduluru,2019-10-18 09:07:58.84204,2019-10-18 09:07:58.84204
124,11,4839,Denkada,2019-10-18 09:07:58.853498,2019-10-18 09:07:58.853498
125,6,5276,Devanakonda,2019-10-18 09:07:58.869252,2019-10-18 09:07:58.869252
126,10,4859,Devarapalle,2019-10-18 09:07:58.87937,2019-10-18 09:07:58.87937
127,12,4957,Devarapalle,2019-10-18 09:07:58.891447,2019-10-18 09:07:58.891447
128,3,4885,Devipatnam,2019-10-18 09:07:58.902643,2019-10-18 09:07:58.902643
129,1,5336,Dharmavaram,2019-10-18 09:07:58.914352,2019-10-18 09:07:58.914352
130,6,5289,Dhone,2019-10-18 09:07:58.928319,2019-10-18 09:07:58.928319
131,7,5102,Donakonda,2019-10-18 09:07:58.942679,2019-10-18 09:07:58.942679
132,8,5196,Doravarisatram,2019-10-18 09:07:58.955,2019-10-18 09:07:58.955
133,7,5100,Dornala,2019-10-18 09:07:58.96711,2019-10-18 09:07:58.96711
134,6,5299,Dornipadu,2019-10-18 09:07:58.978286,2019-10-18 09:07:58.978286
135,4,5076,Duggirala,2019-10-18 09:07:58.990373,2019-10-18 09:07:58.990373
136,10,4843,Dumbriguda,2019-10-18 09:07:59.001257,2019-10-18 09:07:59.001257
137,4,5042,Durgi,2019-10-18 09:07:59.010698,2019-10-18 09:07:59.010698
138,8,5162,Duttalur,2019-10-18 09:07:59.020549,2019-10-18 09:07:59.020549
139,13,5203,Duvvur,2019-10-18 09:07:59.030479,2019-10-18 09:07:59.030479
140,12,4955,Dwarakatirumala,2019-10-18 09:07:59.040351,2019-10-18 09:07:59.040351
141,4,5071,Edlapadu,2019-10-18 09:07:59.051272,2019-10-18 09:07:59.051272
142,12,4966,Eluru,2019-10-18 09:07:59.063194,2019-10-18 09:07:59.063194
143,9,4806,Etcherla,2019-10-18 09:07:59.074211,2019-10-18 09:07:59.074211
144,5,5006,G.konduru,2019-10-18 09:07:59.084572,2019-10-18 09:07:59.084572
145,10,4848,G.madugula,2019-10-18 09:07:59.098859,2019-10-18 09:07:59.098859
146,6,5281,Gadivemula,2019-10-18 09:07:59.114105,2019-10-18 09:07:59.114105
147,11,4825,Gajapathinagaram,2019-10-18 09:07:59.125127,2019-10-18 09:07:59.125127
148,13,5235,Galiveedu,2019-10-18 09:07:59.137819,2019-10-18 09:07:59.137819
149,5,4996,Gampalagudem,2019-10-18 09:07:59.150831,2019-10-18 09:07:59.150831
150,12,4974,Ganapavaram,2019-10-18 09:07:59.168605,2019-10-18 09:07:59.168605
151,3,4904,Gandepalle,2019-10-18 09:07:59.183447,2019-10-18 09:07:59.183447
152,1,5342,Gandlapenta,2019-10-18 09:07:59.19451,2019-10-18 09:07:59.19451
153,2,5420,Gangadhara nellore,2019-10-18 09:07:59.205148,2019-10-18 09:07:59.205148
154,2,5417,Gangavaram,2019-10-18 09:07:59.235286,2019-10-18 09:07:59.235286
155,3,4894,Gangavaram,2019-10-18 09:07:59.246871,2019-10-18 09:07:59.246871
156,9,4797,Ganguvarisigadam,2019-10-18 09:07:59.259992,2019-10-18 09:07:59.259992
157,5,5012,Gannavaram,2019-10-18 09:07:59.271442,2019-10-18 09:07:59.271442
158,11,4830,Gantyada,2019-10-18 09:07:59.284494,2019-10-18 09:07:59.284494
159,9,4801,Gara,2019-10-18 09:07:59.296154,2019-10-18 09:07:59.296154
160,11,4826,Garividi,2019-10-18 09:07:59.308204,2019-10-18 09:07:59.308204
161,1,5324,Garladinne,2019-10-18 09:07:59.32146,2019-10-18 09:07:59.32146
162,11,4811,Garugubilli,2019-10-18 09:07:59.332608,2019-10-18 09:07:59.332608
163,5,5033,Ghantasala,2019-10-18 09:07:59.347523,2019-10-18 09:07:59.347523
164,7,5133,Giddalur,2019-10-18 09:07:59.363925,2019-10-18 09:07:59.363925
165,3,4897,Gokavaram,2019-10-18 09:07:59.375695,2019-10-18 09:07:59.375695
166,3,4902,Gollaprolu,2019-10-18 09:07:59.389289,2019-10-18 09:07:59.389289
167,10,4853,Golugonda,2019-10-18 09:07:59.401416,2019-10-18 09:07:59.401416
168,6,5270,Gonegandla,2019-10-18 09:07:59.417502,2019-10-18 09:07:59.417502
169,1,5310,Gooty,2019-10-18 09:07:59.434232,2019-10-18 09:07:59.434232
170,12,4951,Gopalapuram,2019-10-18 09:07:59.449651,2019-10-18 09:07:59.449651
171,13,5211,Gopavaram,2019-10-18 09:07:59.463325,2019-10-18 09:07:59.463325
172,1,5362,Gorantla,2019-10-18 09:07:59.480482,2019-10-18 09:07:59.480482
173,6,5287,Gospadu,2019-10-18 09:07:59.492547,2019-10-18 09:07:59.492547
174,10,4850,Gudem kotha veedhi,2019-10-18 09:07:59.502122,2019-10-18 09:07:59.502122
175,1,5352,Gudibanda,2019-10-18 09:07:59.513532,2019-10-18 09:07:59.513532
176,2,5431,Gudipala,2019-10-18 09:07:59.525361,2019-10-18 09:07:59.525361
177,5,5021,Gudivada,2019-10-18 09:07:59.536225,2019-10-18 09:07:59.536225
178,5,5029,Gudlavalleru,2019-10-18 09:07:59.548798,2019-10-18 09:07:59.548798
179,7,5151,Gudluru,2019-10-18 09:07:59.561103,2019-10-18 09:07:59.561103
180,2,5426,Gudupalle,2019-10-18 09:07:59.572842,2019-10-18 09:07:59.572842
181,6,5257,Gudur,2019-10-18 09:07:59.586463,2019-10-18 09:07:59.586463
182,8,5184,Gudur,2019-10-18 09:07:59.597283,2019-10-18 09:07:59.597283
183,5,5031,Guduru,2019-10-18 09:07:59.608611,2019-10-18 09:07:59.608611
184,1,5319,Gummagatta,2019-10-18 09:07:59.619045,2019-10-18 09:07:59.619045
185,11,4808,Gummalakshmipuram,2019-10-18 09:07:59.628282,2019-10-18 09:07:59.628282
186,1,5309,Guntakal,2019-10-18 09:07:59.639291,2019-10-18 09:07:59.639291
187,4,5074,Guntur,2019-10-18 09:07:59.648919,2019-10-18 09:07:59.648919
188,4,5044,Gurazala,2019-10-18 09:07:59.658369,2019-10-18 09:07:59.658369
189,11,4828,Gurla,2019-10-18 09:07:59.668194,2019-10-18 09:07:59.668194
190,2,5370,Gurramkonda,2019-10-18 09:07:59.681988,2019-10-18 09:07:59.681988
191,6,5273,Halaharvi,2019-10-18 09:07:59.691979,2019-10-18 09:07:59.691979
192,7,5130,Hanumanthuni padu,2019-10-18 09:07:59.709529,2019-10-18 09:07:59.709529
193,1,5364,Hindupur,2019-10-18 09:07:59.720294,2019-10-18 09:07:59.720294
194,9,4783,Hiramandalam,2019-10-18 09:07:59.730465,2019-10-18 09:07:59.730465
195,6,5272,Holagunda,2019-10-18 09:07:59.740724,2019-10-18 09:07:59.740724
196,10,4846,Hukumpeta,2019-10-18 09:07:59.751095,2019-10-18 09:07:59.751095
197,3,4931,I. polavaram,2019-10-18 09:07:59.763362,2019-10-18 09:07:59.763362
198,5,5009,Ibrahimpatnam,2019-10-18 09:07:59.774392,2019-10-18 09:07:59.774392
199,9,4778,Ichchapuram,2019-10-18 09:07:59.783251,2019-10-18 09:07:59.783251
200,8,5179,Indukurpet,2019-10-18 09:07:59.793689,2019-10-18 09:07:59.793689
201,7,5110,Inkollu,2019-10-18 09:07:59.802901,2019-10-18 09:07:59.802901
202,4,5065,Ipur,2019-10-18 09:07:59.812212,2019-10-18 09:07:59.812212
203,12,4979,Iragavaram,2019-10-18 09:07:59.822595,2019-10-18 09:07:59.822595
204,2,5411,Irala,2019-10-18 09:07:59.833114,2019-10-18 09:07:59.833114
205,3,4898,Jaggampeta,2019-10-18 09:07:59.84328,2019-10-18 09:07:59.84328
