District Code,District Name,Mandal Code,Mandal Name,Panchayat Code,Panchayat Name
521,Vizianagaram,4813,Makkuva,212885,Addumanda Venkampeta
520,Visakhapatanam,4872,Chodavaram,211864,Adduru
503,Chittoor,5396,Pakala,197339,Adenapalle
504,Y.S.R.,5225,Vallur,198830,Adi Nimmaya Palli
506,Guntur,5042,Durgi,200148,Adigoppula
503,Chittoor,5430,Yadamarri,198069,Adikaripalle
503,Chittoor,5431,Gudipala,197005,Adilakshmambapuram
517,Prakasam,5133,Giddalur,235007,Adimurthipalli
504,Y.S.R.,5204,S.Mydukur,198490,Adireddypalli
505,East Godavari,4924,Ramachandrapuram,199669,Adivarapu Peta
520,Visakhapatanam,4858,Cheedikada,211824,Adivi Agraharam
503,Chittoor,5401,Pichatur,197485,Adivikodiyambedu
503,Chittoor,5401,Pichatur,197486,Adivisankarpuram
520,Visakhapatanam,4842,Peda Bayalu,212224,Adugula Puttu
505,East Godavari,4936,Mamidikuduru,199427,Adurru
515,SPSR Nellore,5172,Chejerla,208378,Adurupalli
515,SPSR Nellore,5175,Rapur,208911,Adurupalli
517,Prakasam,5108,Parchur,234821,Adusumalli
523,West Godavari,4963,Bhimadole,214308,Agadalanka
504,Y.S.R.,5221,Thondur,198815,Agadur
502,Anantapur,5354,Agali,195775,Agali
503,Chittoor,5384,Chandragiri,196864,Agarala
503,Chittoor,5426,Gudupalle,197031,Agaram
503,Chittoor,5404,Nindra,197317,Agaram
503,Chittoor,5420,Gangadhara Nellore,196955,Agaramangalam
523,West Godavari,4988,Palacole,214799,Agarru
523,West Godavari,4988,Palacole,214800,Agarthipalem
511,Kurnool,5251,Kosigi,204291,Agasanur
506,Guntur,5075,Pedakakani,200528,Agathavarappadu
511,Kurnool,5277,Krishnagiri,204343,Agaveli
520,Visakhapatanam,4853,Golugonda,211957,Agency Laxmipuram
503,Chittoor,5397,Vedurukuppam,198001,Aggichenupalle
510,Krishna,5005,Agiripalle,202907,Agiripalli
506,Guntur,5065,Ipur,200214,Agnigundala
510,Krishna,5026,Pamidimukkala,203610,Agniparru
523,West Godavari,4974,Ganapavaram,214509,Agraharagopavaram
502,Anantapur,5345,Bukkapatnam,195907,Agraharam
503,Chittoor,5393,Nimmanapalle,197307,Agraharam
503,Chittoor,5386,Pileru,197470,Agraharam
521,Vizianagaram,4824,Mentada,212906,Aguru
519,Srikakulam,4796,Rajam,211305,Aguru
511,Kurnool,5298,Allagadda,203896,Ahobilam
510,Krishna,5028,Pamarru,203587,Ainampudi
505,East Godavari,4932,Mummidivaram,199469,Ainapuram
505,East Godavari,4933,Ainavilli,198958,Ainavilli
505,East Godavari,4933,Ainavilli,198959,Ainavillilanka
521,Vizianagaram,4815,Balijipeta,212356,Ajjada
510,Krishna,5012,Gannavaram,203081,Ajjampudi
523,West Godavari,4975,Akividu,214275,Ajjamuru
519,Srikakulam,4806,Etcherla,210686,Ajjaram
523,West Godavari,4971,Peravali,214947,Ajjaram
521,Vizianagaram,4818,Pachipenta,212988,Ajuru
519,Srikakulam,4790,Santhabommali,211394,Akakslakkavaram
503,Chittoor,5410,Puthalapattu,197553,Akanambattu
520,Visakhapatanam,4874,Kotauratla,235340,Akasahebpeta
517,Prakasam,5132,Racherla,235059,Akaveedu
515,SPSR Nellore,5165,Anumasamudrampeta,208288,Akbarabad
504,Y.S.R.,5246,Rajampet,198672,Akepadu
515,SPSR Nellore,5175,Rapur,208912,Akilavalasa
523,West Godavari,4975,Akividu,214276,Akiveedu
517,Prakasam,5120,Podili,235632,Akkacheruvu
504,Y.S.R.,5208,Porumamilla,198614,Akkalareddypalli
502,Anantapur,5330,Anantapur,195803,Akkampalli
511,Kurnool,5300,Sanjamala,204636,Akkampalli
515,SPSR Nellore,5183,Manubolu,208722,Akkampet
523,West Godavari,4953,Jangareddigudem,214574,Akkampeta
510,Krishna,4997,Tiruvuru,203739,Akkapalem
517,Prakasam,5131,Bestawaripeta,235088,Akkapalli
515,SPSR Nellore,5196,Doravarisatram,208494,Akkarapaka
519,Srikakulam,4783,Hiramandalam,210768,Akkarapalli
519,Srikakulam,4789,Tekkali,211590,Akkavaram
517,Prakasam,5124,Vetapalem,234901,Akkayapalem
519,Srikakulam,4791,Kotabommali,210903,Akkayyavalasa
510,Krishna,5002,Musunuru,203469,Akkireddigudem
520,Visakhapatanam,4871,Anakapalle,235226,Akkireddipalem
521,Vizianagaram,4839,Denkada,212510,Akkivaram
504,Y.S.R.,5218,Lingala,198456,Akkulagari Palli
519,Srikakulam,4798,Amadalavalasa,210608,Akkulapeta
519,Srikakulam,4781,Vajrapukothuru,211617,Akkupalli
523,West Godavari,4962,Unguturu,215098,Akkupalligokavaram
519,Srikakulam,4792,Jalumuru,210812,Akkurada
503,Chittoor,5378,Srikalahasti,197760,Akkurthy
504,Y.S.R.,5206,Sri Avadhutha Kasinayana,198786,Akula Naraya Palli
521,Vizianagaram,4820,Badangi,212331,Akulakatta
510,Krishna,5031,Guduru,203169,Akulamannadu
521,Vizianagaram,4839,Denkada,212511,Akulapeta
521,Vizianagaram,4832,Vepada,213212,Akulaseethampeta
519,Srikakulam,4772,Kothuru,210941,Akulatampara
502,Anantapur,5325,Singanamala,196573,Akuledu
511,Kurnool,5300,Sanjamala,204637,Akumalla
510,Krishna,5031,Guduru,203170,Akumarru
510,Krishna,5027,Vuyyuru,203849,Akunuru
506,Guntur,5048,Machavaram,200342,Akurajupalli
505,East Godavari,4895,Rampachodavaram,199694,Akuru
523,West Godavari,4969,Pentapadu,214893,Akuteegapadu
502,Anantapur,5330,Anantapur,195804,Akuthotapalli
515,SPSR Nellore,5168,Vidavalur,209159,Alagani Padu
521,Vizianagaram,4816,Bobbili,212402,Alajangi
521,Vizianagaram,4827,Cheepurupalle,212458,Alajangi
517,Prakasam,5141,Tangutur,234890,Alakurapadu
520,Visakhapatanam,4859,Devarapalle,211896,Alamanda
521,Vizianagaram,4835,Jami,212719,Alamanda
521,Vizianagaram,4810,Jiyyammavalasa,212744,Alamanda
520,Visakhapatanam,4860,K.Kotapadu,212030,Alamanda Bheemavaram
520,Visakhapatanam,4859,Devarapalle,211897,Alamanda Kothapalle
520,Visakhapatanam,4860,K.Kotapadu,212031,Alamandakoduru
511,Kurnool,5277,Krishnagiri,204344,Alamkonda
523,West Godavari,4969,Pentapadu,214894,Alampuram
511,Kurnool,5280,Panyam,204542,Alamur
511,Kurnool,5297,Rudravaram,204616,Alamur
505,East Godavari,4925,Alamuru,198979,Alamuru
502,Anantapur,5330,Anantapur,195805,Alamuru
523,West Godavari,4978,Penumantra,214929,Alamuru
510,Krishna,5016,Kaikalur,203224,Alapadu
506,Guntur,5085,Tsundur,200840,Alapadu
503,Chittoor,5405,Vijayapuram,198043,Alapakam
503,Chittoor,5423,Baireddipalle,196778,Alapalle
511,Kurnool,5276,Devanakonda,204058,Alarudinne
503,Chittoor,5380,Buchinaidu Kandriga,196839,Alathur
503,Chittoor,5408,Karvetinagar,197168,Alathur
506,Guntur,5066,Rompicherla,200712,Alavala
517,Prakasam,5111,Janakavarampanguluru,234680,Alavalapadu
517,Prakasam,5103,Kurichedu,235519,Alavalapadu
504,Y.S.R.,5233,Vempalle,198876,Alavalapadu
502,Anantapur,5351,Amarapuram,195793,Aldahalli
519,Srikakulam,4788,Saravakota,211462,Aldu
515,SPSR Nellore,5193,Chittamur,234540,Aletipadu
504,Y.S.R.,5222,Veerapunayunipalle,198856,Alidinne
