mandal_name,village_code,village_name
382,583156,Alugolu
382,583156,Alugolu
560,582983,Alugubilli
118,589858,Alugumallipadu
14,594164,Alur
570,594805,Alur
257,591911,Alurupadu
530,594573,Alvakonda
168,594050,Alwala
168,594050,Alwala
258,594044,Amadaguntla
15,595503,Amadagur
15,595503,Amadagur
261,594504,Amadala
511,580824,Amadalavalasa
481,595451,Amagondapalem
481,595451,Amagondapalem
290,594218,Amakathadu
608,580578,Amalapadu
608,580578,Amalapadu
379,585799,Amalapuram
436,596117,Amallabandakota
440,594842,Amalladinne
440,594842,Amalladinne
62,586140,Amanam
384,592087,Amancherla
311,589806,Amani Jammala Madaka
26,591967,Amanichiruvella
446,593427,Amaniviswanathapuram
485,581310,Amaram
18,595372,Amarapuram
18,595372,Amarapuram
280,587483,Amaravalli
294,579318,Amaravaram
19,589946,Amaravathi
227,589367,Amaravathi
336,582722,Amarayavalasa
65,583240,Amatam Ravivalasa
511,580844,Ambada
32,589919,Ambadipudi
540,596332,Ambakam
307,593213,Ambakapalle
511,580860,Ambakhandi
159,581504,Ambalavalasa
59,594243,Ambapuram
384,592094,Ambapuram
424,590614,Ambapuram
640,589219,Ambapuram (OG)
370,588882,Ambarupeta
71,582899,Ambativalasa
194,580725,Ambavalli
87,591472,Ambavaram
164,591183,Ambavaram
164,591183,Ambavaram
164,591183,Ambavaram
610,593331,Ambavaram
610,593331,Ambavaram
63,588357,Amberpeta
63,588357,Amberpeta
114,586219,Amberupuram
153,596685,Ambodharapalle
613,595945,Ambur
412,589542,Ameenapuram
186,594724,Ameenpalle
604,594897,Amidala
313,595350,Amidalagondi
190,595652,Amilepalle
280,587491,Aminabada
455,590223,Aminabada
488,586924,Aminabada
583,582576,Amity
216,587706,Amjuru
453,596442,Ammagaripalle
552,596166,Ammagaripalle
552,596166,Ammagaripalle
360,591038,Ammana Brolu
658,590536,Ammani Gudi Padu
658,590536,Ammani Gudi Padu
212,588181,Ammapalem
167,585782,Ammapeta
